id,player_name,appearances_time, field_goal_percentage ,shots_made,shots_try, three_pointer_percentage ,three_shots_made,three_shots_try, free_throws_percentage ,free_throw_made,free_throws_try,rebounds,assists,steals,blocks,turnovers,fouls,scores,is_allstar
243,James Harden,35.4,0.45,9,20.1,0.37,3.7,10,0.86,8.7,10.1,5.4,8.8,1.8,0.7,4.4,2.3,30.4,1
155,Anthony Davis,36.4,0.53,10.4,19.5,0.34,0.7,2.2,0.83,6.6,8,11.1,2.3,1.5,2.6,2.2,2.1,28.1,1
317,LeBron James,36.9,0.54,10.5,19.3,0.37,1.8,5,0.73,4.7,6.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,1
16,Giannis Antetokounmpo,36.7,0.53,9.9,18.7,0.31,0.6,1.9,0.76,6.5,8.5,10,4.8,1.5,1.4,3,3.1,26.9,1
384,Damian Lillard,36.6,0.44,8.5,19.4,0.36,3.1,8.6,0.92,6.8,7.4,4.5,6.6,1.1,0.4,2.8,1.6,26.9,1
179,Kevin Durant,34.2,0.52,9.3,18,0.42,2.5,6.1,0.89,5.3,5.9,6.8,5.4,0.7,1.8,3,2,26.4,1
152,Stephen Curry,32,0.5,8.4,16.9,0.42,4.2,9.8,0.92,5.5,5.9,5.1,6.1,1.6,0.2,3,2.2,26.4,1
651,Russell Westbrook,36.4,0.45,9.5,21.1,0.3,1.2,4.1,0.74,5.2,7.1,10.1,10.3,1.8,0.3,4.8,2.5,25.4,1
140,DeMarcus Cousins,36.2,0.47,8.5,18,0.35,2.2,6.1,0.75,6.1,8.2,12.9,5.4,1.6,1.6,5,3.8,25.2,1
68,Devin Booker,34.5,0.43,8.4,19.5,0.38,2.7,7.1,0.88,5.4,6.1,4.5,4.7,0.9,0.3,3.6,3.1,24.9,0
305,Kyrie Irving,32.2,0.49,8.9,18.1,0.41,2.8,6.8,0.89,3.9,4.4,3.8,5.1,1.1,0.3,2.3,2,24.4,1
7,LaMarcus Aldridge,33.5,0.51,9.2,18,0.29,0.4,1.2,0.84,4.5,5.3,8.5,2,0.6,1.2,1.5,2.1,23.1,1
492,Victor Oladipo,34,0.48,8.5,17.9,0.37,2.1,5.8,0.8,3.9,4.9,5.2,4.3,2.4,0.8,2.9,2.3,23.1,1
163,DeMar DeRozan,33.9,0.46,8.1,17.7,0.31,1.1,3.6,0.83,5.8,7,3.9,5.2,1.1,0.3,2.2,1.9,23,1
185,Joel Embiid,30.3,0.48,8.1,16.8,0.31,1,3.4,0.77,5.7,7.4,11,3.2,0.6,1.8,3.7,3.3,22.9,1
528,foreign_star,32.4,0.44,8.1,18.5,0.4,1.9,4.8,0.79,4.5,5.7,6.6,1.2,0.8,2.4,1.9,2.9,22.7,1
42,Bradley Beal,36.3,0.46,8.3,18.1,0.38,2.4,6.5,0.79,3.6,4.5,4.4,4.5,1.2,0.4,2.6,2,22.6,1
663,Lou Williams,32.8,0.44,7.4,16.9,0.36,2.4,6.6,0.88,5.5,6.2,2.5,5.3,1.1,0.2,3,1.3,22.6,0
97,Jimmy Butler,36.7,0.47,7.4,15.6,0.35,1.2,3.4,0.85,6.2,7.2,5.3,4.9,2,0.4,1.8,1.3,22.2,1
638,Kemba Walker,34.2,0.43,7.4,17,0.38,2.9,7.5,0.86,4.5,5.3,3.1,5.6,1.1,0.3,2.2,1.2,22.1,0
219,Paul George,36.6,0.43,7.3,17,0.4,3.1,7.7,0.82,4.3,5.2,5.7,3.3,2,0.5,2.7,2.9,21.9,0
238,Blake Griffin,34,0.44,7.5,17.2,0.35,1.9,5.6,0.79,4.5,5.7,7.4,5.8,0.7,0.3,2.8,2.4,21.4,0
412,CJ McCollum,36.1,0.44,8.2,18.6,0.4,2.3,5.9,0.84,2.6,3.1,4,3.4,1,0.4,1.9,2.1,21.4,0
617,Karl0Anthony Towns,35.6,0.55,7.8,14.3,0.42,1.5,3.5,0.86,4.2,4.9,12.3,2.4,0.8,1.4,1.9,3.5,21.3,1
438,Donovan Mitchell,33.4,0.44,7.5,17.2,0.34,2.4,7,0.81,3,3.8,3.7,3.7,1.5,0.3,2.7,2.7,20.5,0
428,Khris Middleton,36.4,0.47,7.2,15.5,0.36,1.8,5,0.88,3.9,4.4,5.2,4,1.5,0.3,2.3,3.3,20.1,0
85,MarShon Brooks,27.6,0.5,7.3,14.6,0.59,2.7,4.6,0.87,2.9,3.3,3,3.6,1.6,0.4,2.3,0.9,20.1,0
612,Klay Thompson,34.3,0.49,7.9,16.2,0.44,3.1,7.1,0.84,1.1,1.3,3.8,2.5,0.8,0.5,1.8,1.6,20,1
644,T.J. Warren,33,0.5,8.1,16.4,0.22,0.3,1.4,0.76,3,3.9,5.1,1.3,1,0.6,1.3,2.3,19.6,0
192,Tyreke Evans,30.9,0.45,7,15.6,0.4,2.2,5.5,0.79,3.2,4,5.1,5.2,1.1,0.3,2.3,1.8,19.4,0
639,John Wall,34.4,0.42,6.8,16.3,0.37,1.5,4.1,0.73,4.3,5.9,3.7,9.6,1.4,1.1,3.9,2,19.4,1
568,foreign_star,31,0.44,7.5,17.1,0.29,1.1,3.9,0.85,3.4,4,3.1,6.2,1.1,0.1,2.7,2.2,19.4,0
282,Jrue Holiday,36.1,0.49,7.6,15.4,0.34,1.5,4.4,0.79,2.3,2.9,4.5,6,1.5,0.8,2.6,2.5,19,0
36,Harrison Barnes,34.2,0.45,7,15.7,0.36,1.5,4.3,0.83,3.4,4.1,6.1,2,0.6,0.2,1.5,1.2,18.9,0
252,Tobias Harris,33.4,0.46,7,15.3,0.41,2.3,5.6,0.83,2.2,2.7,5.5,2.4,0.9,0.4,1.3,2.1,18.6,0
508,Chris Paul,31.8,0.46,6.3,13.8,0.38,2.5,6.5,0.92,3.5,3.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6,0
339,foreign_star,32.6,0.5,6.7,13.5,0.4,1.5,3.7,0.85,3.5,4.2,10.7,6.1,1.2,0.8,2.8,2.8,18.5,0
227,Eric Gordon,31.2,0.43,6,14.1,0.36,3.2,8.8,0.81,2.8,3.5,2.5,2.2,0.6,0.4,1.9,1.7,18,0
385,Jeremy Lin,25,0.42,5,12,0.5,1,2,1,7,7,0,4,0,0,3,3,18,0
206,Evan Fournier,32.2,0.46,6.5,14.1,0.38,2.2,5.9,0.87,2.6,3,3.2,2.9,0.8,0.3,1.7,2.4,17.8,0
657,Andrew Wiggins,36.3,0.44,6.9,15.9,0.33,1.4,4.1,0.64,2.5,3.8,4.4,2,1.1,0.6,1.7,2,17.7,0
60,Eric Bledsoe,31.4,0.47,6.3,13.4,0.35,1.7,4.9,0.8,3.4,4.3,3.8,5,2,0.6,2.9,2.5,17.7,0
391,Kevin Love,28,0.46,5.7,12.4,0.42,2.3,5.6,0.88,4,4.5,9.3,1.7,0.7,0.4,1.5,2,17.6,1
225,Aaron Gordon,32.9,0.43,6.5,14.9,0.34,2,5.9,0.7,2.7,3.9,7.9,2.3,1,0.8,1.8,1.9,17.6,0
242,Tim Hardaway Jr.,33.1,0.42,6.3,15,0.32,2.3,7.2,0.82,2.6,3.1,3.9,2.7,1.1,0.2,1.6,2.2,17.5,0
249,Gary Harris,34.4,0.49,6.6,13.6,0.4,2.3,5.9,0.83,2,2.4,2.6,2.9,1.8,0.2,1.8,1.8,17.5,0
171,foreign_player,31.7,0.45,6.5,14.3,0.37,1.5,4,0.8,2.9,3.6,4.1,4.8,0.8,0.2,2.2,2.4,17.3,0
216,Marc Gasol,33,0.42,5.9,14.2,0.34,1.5,4.4,0.83,3.8,4.6,8.1,4.2,0.7,1.4,2.7,2.5,17.2,0
542,J.J. Redick,30.2,0.46,5.8,12.6,0.42,2.8,6.6,0.9,2.8,3.1,2.5,3,0.5,0.1,1.5,1.8,17.1,0
134,Mike Conley,31.1,0.38,5.3,14,0.31,2,6.4,0.8,4.4,5.5,2.3,4.1,1,0.3,1.5,2,17.1,0
370,Zach LaVine,27.3,0.38,5.7,14.8,0.34,1.8,5.1,0.81,3.6,4.5,3.9,3,1,0.2,1.8,2.3,16.7,0
464,Jamal Murray,31.7,0.45,5.9,13.1,0.38,2,5.4,0.91,2.8,3.1,3.7,3.4,1,0.3,2.1,2.1,16.7,0
293,Dwight Howard,30.4,0.56,6.2,11.2,0.14,0,0.1,0.57,4.1,7.2,12.5,1.3,0.6,1.6,2.6,3.1,16.6,0
633,foreign_player,29.5,0.48,7,14.7,0.31,1.1,3.6,0.82,1.4,1.6,9.2,3.4,1,1.1,1.9,2.5,16.5,0
17,Carmelo Anthony,32.1,0.4,6.1,15,0.36,2.2,6.1,0.77,1.9,2.5,5.8,1.3,0.6,0.6,1.3,2.5,16.2,0
392,Kyle Lowry,32.2,0.43,5.2,12.1,0.4,3.1,7.6,0.85,2.9,3.3,5.6,6.9,1.1,0.2,2.3,2.5,16.2,1
377,Kawhi Leonard,23.3,0.47,5.8,12.3,0.31,1.2,3.9,0.82,3.4,4.2,4.7,2.3,2,1,1.8,1,16.2,0
539,Julius Randle,26.7,0.56,6.1,11,0.22,0.1,0.5,0.72,3.7,5.2,8,2.6,0.5,0.5,2.6,3.3,16.1,0
363,Kyle Kuzma,31.2,0.45,6.1,13.5,0.37,2.1,5.6,0.71,1.9,2.7,6.3,1.8,0.6,0.4,1.8,2.1,16.1,0
304,Brandon Ingram,33.5,0.47,6.1,12.9,0.39,0.7,1.8,0.68,3.3,4.8,5.3,3.9,0.8,0.7,2.5,2.8,16.1,0
578,Ben Simmons,33.7,0.55,6.7,12.3,0,0,0.1,0.56,2.4,4.2,8.1,8.2,1.7,0.9,3.4,2.6,15.8,0
37,Will Barton,33.1,0.45,5.7,12.7,0.37,1.9,5.2,0.81,2.2,2.8,5,4.1,1,0.6,1.8,2.1,15.7,0
435,foreign_player,27.2,0.45,5.6,12.4,0.38,2.5,6.5,0.82,2,2.5,7.4,1.5,0.8,0.7,1.1,2,15.6,0
562,D'Angelo Russell,25.7,0.41,5.8,14,0.32,1.9,5.8,0.74,2,2.7,3.9,5.2,0.8,0.4,3.1,1.9,15.5,0
214,Danilo Gallinari,32,0.4,4.9,12.2,0.32,1.7,5.3,0.93,3.9,4.1,4.8,2,0.6,0.5,1.2,1.4,15.3,0
403,Lauri Markkanen,29.7,0.43,5.5,12.7,0.36,2.1,5.9,0.84,2.1,2.4,7.5,1.2,0.6,0.6,1.2,1.5,15.2,0
583,Dennis Smith Jr.,29.7,0.4,5.9,14.8,0.31,1.5,4.9,0.69,1.9,2.8,3.8,5.2,1,0.3,2.8,2.2,15.2,0
608,Isaiah Thomas,26.9,0.37,4.9,13.2,0.29,1.7,5.9,0.89,3.7,4.1,2.1,4.8,0.5,0.1,3,1.8,15.2,0
551,Austin Rivers,33.7,0.42,5.6,13.2,0.38,2.2,5.9,0.64,1.7,2.6,2.4,4,1.2,0.3,1.8,2.5,15.1,0
175,Andre Drummond,33.7,0.53,6,11.3,0,0,0.1,0.61,3.1,5.1,16,3,1.5,1.6,2.6,3.2,15,0
526,Otto Porter Jr.,31.6,0.5,5.8,11.5,0.44,1.8,4.1,0.83,1.4,1.7,6.4,2,1.5,0.5,1,2,14.7,0
287,Rodney Hood,26.9,0.43,5.4,12.5,0.38,2.1,5.6,0.86,1.9,2.2,2.8,1.6,0.8,0.2,1.2,1.8,14.7,0
566,foreign_player,29.6,0.45,5.2,11.4,0.39,2,5.1,0.86,2.3,2.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,0
434,Paul Millsap,30.1,0.46,5.3,11.4,0.35,1,3,0.7,2.9,4.2,6.4,2.8,1,1.2,1.9,2.6,14.6,0
316,Reggie Jackson,26.7,0.43,5.5,12.8,0.31,1.2,3.8,0.84,2.5,3,2.8,5.3,0.6,0.1,2.2,1.9,14.6,0
540,Zach Randolph,25.6,0.47,6.1,12.9,0.35,0.9,2.5,0.79,1.4,1.8,6.7,2.2,0.7,0.2,2,2,14.5,0
88,Jaylen Brown,30.7,0.47,5.3,11.5,0.4,1.7,4.4,0.64,2.1,3.3,4.9,1.6,1,0.4,1.8,2.6,14.5,0
