id,player_name,appearances_time,field_goal_percentage,shots_made,shots_try,three_pointer_percentage,three_shots_made,three_shots_try,free_throws_percentage,free_throw_made,free_throws_try,rebounds,assists,steals,blocks,turnovers,fouls,scores
129,Joel Embiid,34.5,0.498,10.3,20.7,0.315,1.1,3.4,0.878,10.3,11.8,11.3,6.6,1,1.9,3.7,3,32
123,Kevin Durant,36.9,0.518,10.8,20.8,0.493,2.3,4.7,0.896,7.5,8.4,6.9,5.5,0.8,1.1,3.8,1.8,31.3
117,Luka Doncic,35.2,0.489,10.8,22,0.388,3.8,9.7,0.773,5.8,7.5,8,7.9,1.3,0.4,3.6,1.8,31.1
140,De'Aaron Fox,36.3,0.489,10.8,22.2,0.363,3.1,8.5,0.732,5.9,8.1,4.8,5.8,1.5,0.3,2.1,3,30.7
153,Shai Gilgeous-Alexander,34.3,0.541,11.2,20.6,0.35,1.2,3.5,0.945,7.1,7.5,5.9,6.1,2.3,0.9,2.2,2.4,30.6
10,Giannis Antetokounmpo,34.2,0.601,11.4,18.9,0.235,0.4,1.9,0.65,6.6,10.2,10.8,4.7,1.3,1.4,4.1,3.2,29.8
106,Stephen Curry,33.2,0.481,9.1,18.8,0.431,5.1,11.9,0.93,6.2,6.7,5.1,4.3,0.8,0.2,3.6,1.9,29.5
236,Nikola Jokic,33.7,0.571,11.4,19.9,0.316,1.3,4.2,0.8,4.9,6.1,13.2,9.2,1.2,0.7,3.1,2.4,29
445,Jayson Tatum,37,0.494,9.7,19.7,0.361,3.2,8.8,0.807,5.1,6.3,8.8,4.1,1.1,0.3,3.2,2.3,27.7
322,Donovan Mitchell,35.6,0.453,9.6,21.1,0.342,2.9,8.6,0.907,5.6,6.1,5.5,5.3,2.1,0.5,2.4,1.9,27.6
52,Devin Booker,33.9,0.476,9.1,19.1,0.4,2,5,0.922,7.1,7.7,5.4,8.5,0.7,0.5,3,3,27.3
174,Tyrese Haliburton,33.9,0.519,9.3,17.8,0.447,3.9,8.8,0.88,4.6,5.2,3.6,11.8,1.1,0.7,2.5,1.1,27
295,Tyrese Maxey,38.4,0.464,9.4,20.2,0.396,3.3,8.3,0.899,4.9,5.5,4.6,6.7,0.8,0.7,1.6,1.9,27
453,Cam Thomas,31.6,0.484,10,20.7,0.328,2.1,6.4,0.84,4.7,5.6,3.6,2,0.8,0.7,1.2,1.8,26.8
519,Trae Young,36,0.404,7.8,19.4,0.35,2.9,8.4,0.869,8.2,9.4,2.9,10.6,1.6,0,3.8,1.6,26.8
126,Anthony Edwards,35.1,0.464,9.2,19.9,0.377,2.5,6.7,0.864,5.2,6.1,5.9,5,1.3,0.5,3.2,1.9,26.2
268,Damian Lillard,34.8,0.418,7.2,17.2,0.329,2.8,8.6,0.922,8.4,9.1,4.5,6.8,1.1,0.1,2.7,1.3,25.5
70,Jalen Brunson,35.5,0.469,8.9,18.9,0.48,3.3,6.9,0.828,4,4.8,3.7,5.4,1,0.1,1.9,2.2,25.1
226,LeBron James,33.5,0.559,9.3,16.6,0.396,2.3,5.8,0.704,4,5.7,7.8,6.3,1.4,0.7,3.6,1.1,24.8
22,LaMelo Ball,33.4,0.443,8.8,19.9,0.388,3.5,8.9,0.857,3.6,4.2,5.5,8.2,1.4,0.3,3.9,3.5,24.7
217,Kyrie Irving,33.1,0.469,9.1,19.5,0.39,2.8,7.1,0.907,3.5,3.9,4.1,5.5,1.1,0.4,1.5,1.9,24.6
216,Brandon Ingram,33.9,0.503,9.6,19,0.306,1.4,4.5,0.778,3.5,4.5,5.1,5.1,0.6,0.2,2.6,2.1,24
511,Zion Williamson,31.9,0.566,9.5,16.7,0.5,0.1,0.3,0.649,4.9,7.6,5.9,4.9,1.1,0.3,2.6,2.5,24
286,Lauri Markkanen,34.1,0.484,8.1,16.8,0.383,3.3,8.5,0.84,4.2,5,8.7,1.1,1.1,0.9,1.3,2.3,23.7
149,Paul George,35.4,0.442,8.1,18.2,0.375,3.2,8.4,0.925,4.1,4.4,5.8,4.2,1.7,0.2,2.5,2.9,23.4
257,Kyle Kuzma,30.9,0.47,9.1,19.4,0.359,2.3,6.5,0.823,2.8,3.4,6.1,4.8,0.3,0.6,2.3,1.8,23.4
25,Desmond Bane,34.2,0.44,8.4,19.1,0.353,3.2,9.2,0.871,3.2,3.6,4.5,5.2,1.4,0.6,2.7,3.1,23.2
194,Tyler Herro,34,0.447,8.5,19,0.41,3.1,7.6,0.88,2.8,3.1,5,4.6,1.4,0,2.5,1.6,22.9
162,Jerami Grant,35.4,0.447,7.7,17.2,0.43,2.7,6.3,0.819,4.8,5.8,3.9,2.3,0.9,0.9,2.4,2.2,22.8
108,Anthony Davis,35,0.553,8.5,15.4,0.273,0.2,0.6,0.844,5.4,6.4,12.4,3.3,1.1,2.7,2.2,2.9,22.6
401,Terry Rozier,36.1,0.473,8.6,18.3,0.362,2.1,5.9,0.806,3.1,3.9,3.4,6.5,0.9,0.4,2.8,1.1,22.5
2,Bam Adebayo,33.6,0.522,8.3,15.8,0.333,0.1,0.2,0.813,5.7,7,9.9,3.9,1.2,1,2.4,2.4,22.3
104,Cade Cunningham,34.9,0.416,8.3,19.8,0.342,2.1,6,0.888,3.7,4.2,3.6,7.1,0.8,0.2,4.5,2.8,22.3
66,Jaylen Brown,34.5,0.452,8.3,18.4,0.344,2.5,7.2,0.706,2.8,4,5,3.6,1.1,0.5,2.4,2.8,21.9
263,Kawhi Leonard,34.1,0.474,8.1,17.1,0.394,2.2,5.5,0.829,3.5,4.2,5.9,3.2,1.7,0.7,1.4,1.6,21.9
58,Mikal Bridges,35,0.472,8.1,17.1,0.349,2.1,5.9,0.855,3.6,4.2,6.3,3.9,1.1,0.3,2.5,1.7,21.8
462,Karl-Anthony Towns,33.6,0.502,7.9,15.7,0.411,2.1,5,0.911,4,4.4,9.1,3,1,0.8,2.9,3.4,21.8
76,Jimmy Butler,33.6,0.463,6.6,14.3,0.405,1.1,2.8,0.881,7.4,8.4,5.4,3.9,1.3,0.5,1.8,0.8,21.7
298,CJ McCollum,33.4,0.44,7.3,16.6,0.379,3.1,8.3,0.765,3.7,4.9,4.7,5.6,1.6,0.9,1.4,2.4,21.4
111,DeMar DeRozan,35.2,0.45,7.5,16.7,0.364,0.9,2.4,0.81,5.4,6.7,3.2,4.6,1,0.8,1.2,2.1,21.3
260,Zach LaVine,35.3,0.443,7.3,16.6,0.336,2.4,7.1,0.866,3.9,4.6,4.9,3.4,0.9,0.2,2,2.1,21
416,foreign_star,32.6,0.563,8.7,15.4,0.308,0.8,2.4,0.667,2.9,4.3,8.9,5.6,0.9,0.7,2.7,3.2,21
383,Julius Randle,34.9,0.406,7.1,17.5,0.28,1.7,5.9,0.695,4.6,6.6,10.2,5.3,0.8,0.2,3.2,2.6,20.4
59,Miles Bridges,36.4,0.51,7.3,14.3,0.452,2,4.4,0.813,3.7,4.6,7.6,2.6,1.3,0.4,1.7,1.7,20.3
478,Franz Wagner,32.7,0.468,7.7,16.4,0.316,1.7,5.3,0.826,3.2,3.8,5.6,3.2,1.2,0.4,1.9,2.1,20.2
423,Pascal Siakam,34.3,0.479,7.7,16.2,0.208,0.8,4.1,0.734,3.6,4.9,7.1,5.1,0.8,0.2,2.6,2.3,19.9
330,Dejounte Murray,34.2,0.447,7.4,16.7,0.377,2.2,5.9,0.86,2.7,3.2,4.2,5.2,1.8,0.3,2.4,1.4,19.8
166,Jalen Green,31.9,0.43,6.5,15.1,0.36,2.3,6.3,0.793,4.3,5.4,4.4,3.4,0.6,0.4,2.3,1.6,19.6
223,Jaren Jackson Jr.,31.5,0.412,6.5,15.7,0.286,1.4,4.9,0.821,5.1,6.2,6.1,1.9,0.6,1.8,1.9,3.4,19.5
491,Victor Wembanyama,30,0.437,7.2,16.4,0.271,1.4,5.3,0.829,3.5,4.2,9.7,2.6,1.3,2.7,3.5,2.6,19.3
24,Paolo Banchero,33.1,0.481,6.9,14.3,0.436,1.3,3.1,0.651,3.9,6.1,6.3,4.6,1.1,0.6,3.3,2.3,19.1
29,Scottie Barnes,34.7,0.452,7,15.5,0.379,1.9,5,0.782,3.2,4.1,9.1,5.5,1.6,1.3,2.3,2.1,19.1
145,Darius Garland,33.4,0.471,6.9,14.6,0.338,1.6,4.6,0.828,3.8,4.6,2.7,5.9,1.4,0.2,4.4,1.6,19.1
374,Kristaps Porzingis,30.3,0.547,6.5,11.9,0.324,1.6,4.9,0.8,4.3,5.3,6.7,1.9,0.7,1.7,1.3,3.4,18.9
30,RJ Barrett,29.5,0.429,6.3,14.7,0.409,2.1,5.1,0.844,4.2,4.9,3.6,2.5,0.5,0.2,2,1.6,18.8
405,Domantas Sabonis,35,0.587,7.1,12.1,0.429,0.5,1.2,0.65,3.9,6.1,11.6,6.9,0.8,0.9,3.1,3.5,18.7
472,Devin Vassell,28.2,0.5,6.7,13.4,0.419,2.8,6.6,0.78,2.5,3.2,3.5,2.8,0.9,0.1,1.4,1.1,18.6
182,Tobias Harris,35.1,0.525,6.9,13.1,0.311,1.1,3.4,0.91,3.4,3.7,6.1,2.7,0.8,0.3,1.8,1.7,18.2
425,Anfernee Simons,27,0.429,6,14,0.333,2,6,1,4,4,2,4,2,0,0,2,18
203,Chet Holmgren,30,0.537,6.4,11.9,0.41,1.8,4.3,0.871,3.4,3.9,7.8,2.6,0.9,2.1,1.9,2.8,17.9
90,Jordan Clarkson,31.5,0.414,6.5,15.6,0.316,1.8,5.8,0.836,3,3.6,3.3,4.9,0.8,0.1,3.2,1.4,17.8
61,Malcolm Brogdon,28.6,0.413,6.4,15.5,0.362,1.9,5.3,0.813,3,3.7,4.3,6.4,0.8,0.2,1.8,1.4,17.7
371,Michael Porter Jr.,31.2,0.474,6.7,14.1,0.397,3.2,7.9,0.714,1.1,1.5,7.9,1.6,0.5,0.7,1.2,2.4,17.6
403,D'Angelo Russell,31.1,0.491,6.6,13.4,0.418,2.3,5.5,0.782,2.2,2.8,3.5,6.6,0.6,0.6,1.9,2,17.6
369,Jordan Poole,29.3,0.398,6.2,15.5,0.298,2,6.7,0.85,3,3.5,2.7,3.5,1.2,0.4,2.9,3.1,17.4
37,Bradley Beal,28.7,0.391,6,15.3,0.333,1.7,5,0.688,3.7,5.3,5.3,3.7,0.7,0.3,3,3,17.3
421,Shaedon Sharpe,36.7,0.411,6,14.6,0.337,1.9,5.6,0.836,3.4,4.1,5.6,3.3,1.1,0.4,3.2,2.9,17.3
502,Jalen Williams,32.9,0.508,6.3,12.5,0.333,1,3,0.871,3.6,4.1,4.1,3.8,0.7,0.3,1.9,3.1,17.3
233,Keldon Johnson,32.8,0.47,6.4,13.5,0.358,2,5.6,0.712,2.2,3.1,6.5,4.2,0.8,0.3,1.2,2.5,16.9
176,Tim Hardaway Jr.,27.5,0.42,5.7,13.6,0.384,3.4,8.9,0.892,1.9,2.2,3.4,1.6,0.2,0,0.8,0.9,16.8
467,Myles Turner,26.6,0.502,5.9,11.8,0.333,1.4,4.2,0.778,3.3,4.2,7.6,1.4,0.6,2.1,1.5,3.5,16.6
323,Evan Mobley,33.3,0.571,6.9,12.2,0.2,0.1,0.5,0.774,2.5,3.3,10.7,3.1,0.8,1.8,2.2,2.7,16.5
331,Jamal Murray,29.8,0.414,5.8,13.9,0.425,2.1,5,0.875,2.6,3,3,7.3,0.3,0.6,2,1.9,16.3
355,Kelly Oubre Jr.,29,0.5,5.9,11.8,0.378,1.8,4.6,0.786,2.8,3.5,5.1,0.6,1.4,0.4,0.9,2.4,16.3
414,foreign_player,31.3,0.44,5.8,13.2,0.365,1.8,5.1,0.867,2.7,3.2,3.1,6.9,0.9,0.1,1.7,2,16.2
471,Fred VanVleet,37.6,0.387,5.5,14.1,0.366,3,8.2,0.892,2.2,2.5,4.1,9.2,0.7,0.5,1.5,1.9,16.1
476,foreign_player,34.4,0.461,6.9,14.9,0.261,0.9,3.5,0.833,1.5,1.8,10.1,3.2,1,0.6,1.9,3,16.1
49,foreign_player,26.6,0.462,5.7,12.4,0.394,3.1,7.9,0.92,1.3,1.4,3.1,2.4,1.4,0.3,1.4,2.4,15.8
